,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B8_G127,437,408,429,,,,0.305,0.321,2.631389636,0.00297,0.00297,0.010657128,0.0003,0.0003,,
B8_G95,462,445,459,,,,0.305,0.321,1.38934117,0.00297,0.00297,0.005626832,0.0003,0.0003,,
B8_G63,400,359,390,,,,0.305,0.321,0.562815672,0.00297,0.00297,0.002279404,0.0003,0.0003,,
B8_G47,456,436,452,,,,0.299,0.321,0.295414808,0.00297,0.00297,0.0039881,0.0003,0.0003,,
B8_G31,385,342,387,,,,0.299,0.321,0.118253145,0.00297,0.00297,0.001596417,0.0003,0.0003,,
B8_G23,431,439,465,,,,0.29,0.326,0.061322269,0.003375,0.003375,0.000827851,0.0003,0.0003,,
B8_G15,313,371,427,,,,0.28,0.331,0.02394516,0.00405,0.00405,0.00064652,0.0003,0.0003,,
B8_G7,266,365,459,,,,0.27,0.341,0.00447747,1,1,900,0.0003,0.0003,,
B8_G4,350,463,460,,,,0.27,0.341,0.001307221,1,1,900,0.0003,0.0003,,
B9_G255,321,260,431,,,,0.305,0.321,8.618126613,0.00108,0.00108,0.034903413,0.0003,0.0003,,
B9_G191,457,443,454,,,,0.305,0.321,4.563498175,0.001485,0.001485,0.018482168,0.0003,0.0003,,
B9_G127,436,405,430,,,,0.305,0.321,1.859484914,0.00297,0.00297,0.007530914,0.0003,0.0003,,
B9_G95,461,444,457,,,,0.305,0.321,0.981785028,0.00297,0.00297,0.00397623,0.0003,0.0003,,
B9_G63,400,358,387,,,,0.305,0.321,0.397716567,0.00297,0.00297,0.005369174,0.0003,0.0003,,
B9_G47,454,435,455,,,,0.299,0.321,0.208756382,0.00297,0.00297,0.002818211,0.0003,0.0003,,
B9_G31,370,350,396,,,,0.29,0.326,0.083564188,0.003375,0.003375,0.001128117,0.0003,0.0003,,
B9_G23,436,445,472,,,,0.29,0.326,0.043333694,0.00405,0.00405,0.000585005,0.0003,0.0003,,
B9_G15,316,387,442,,,,0.28,0.331,0.01692097,0.0081,0.0081,0.001370598,0.0003,0.0003,,
B9_G7,266,365,459,,,,0.27,0.341,0.003164027,1,1,900,0.0003,0.0003,,
B9_G4,350,463,460,,,,0.27,0.341,0.000923754,1,1,900,0.0003,0.0003,,
B10_G255,324,260,439,,,,0.305,0.321,5.019346173,0.001485,0.001485,0.020328352,0.0003,0.0003,,
B10_G191,455,438,454,,,,0.305,0.321,2.65786036,0.00297,0.00297,0.010764335,0.0003,0.0003,,
B10_G127,435,403,428,,,,0.305,0.321,1.082996213,0.00297,0.00297,0.004386135,0.0003,0.0003,,
B10_G95,461,442,456,,,,0.305,0.321,0.571808601,0.00297,0.00297,0.002315825,0.0003,0.0003,,
B10_G63,396,357,389,,,,0.299,0.321,0.231637016,0.00297,0.00297,0.0031271,0.0003,0.0003,,
B10_G47,453,439,461,,,,0.299,0.321,0.121583332,0.00297,0.00297,0.001641375,0.0003,0.0003,,
B10_G31,359,364,413,,,,0.29,0.326,0.04866923,0.00405,0.00405,0.000657034,0.0003,0.0003,,
B10_G23,413,465,485,,,,0.28,0.331,0.025238294,0.00405,0.00405,0.000681434,0.0003,0.0003,,
B10_G20,325,421,459,,,,0.28,0.331,0.018557725,0.0081,0.0081,0.001503176,0.0003,0.0003,,
B10_G7,266,365,459,,,,0.27,0.341,0.001842784,1,1,900,0.0003,0.0003,,
B10_G4,350,463,460,,,,0.27,0.341,0.00053801,1,1,900,0.0003,0.0003,,
B11_G255,327,260,455,,,,0.3,0.321,2.55836043,0.00297,0.00297,0.01036136,0.0003,0.0003,,
B11_G191,461,432,454,,,,0.305,0.321,1.354711259,0.00297,0.00297,0.005486581,0.0003,0.0003,,
B11_G127,429,402,423,,,,0.305,0.321,0.552003102,0.00297,0.00297,0.002235613,0.0003,0.0003,,
B11_G95,460,442,457,,,,0.299,0.321,0.291450808,0.00297,0.00297,0.003934586,0.0003,0.0003,,
B11_G63,390,359,398,,,,0.299,0.321,0.118065372,0.00297,0.00297,0.001593883,0.0003,0.0003,,
B11_G47,440,454,474,,,,0.29,0.326,0.061971016,0.003375,0.003375,0.000836609,0.0003,0.0003,,
B11_G31,338,394,441,,,,0.283,0.326,0.024806704,0.00405,0.00405,0.000669781,0.0003,0.0003,,
B11_G25,432,474,492,,,,0.283,0.326,0.015454016,0.0081,0.0081,0.001251775,0.0003,0.0003,,
B11_G20,303,382,466,,,,0.283,0.326,0.009458871,1,1,900,0.0003,0.0003,,
B11_G7,266,365,459,,,,0.27,0.341,0.000939267,1,1,900,0.0003,0.0003,,
B11_G4,350,463,460,,,,0.27,0.341,0.000274224,1,1,900,0.0003,0.0003,,
A0_G255,140,79,222,,,,0.305,0.321,60,0.00108,0.00108,0.243,0.0003,0.0003,,
A0_G191,446,442,450,,,,0.305,0.321,31.77139335,0.00108,0.00108,0.128674143,0.0003,0.0003,,
A0_G127,424,414,427,,,,0.305,0.321,12.94586398,0.00108,0.00108,0.052430749,0.0003,0.0003,,
A0_G95,457,449,459,,,,0.305,0.321,6.835256004,0.001485,0.001485,0.027682787,0.0003,0.0003,,
A0_G63,388,370,390,,,,0.305,0.321,2.768930545,0.00297,0.00297,0.011214168,0.0003,0.0003,,
A0_G47,453,440,451,,,,0.305,0.321,1.453376524,0.00297,0.00297,0.005886175,0.0003,0.0003,,
A0_G31,381,354,373,,,,0.305,0.321,0.581779722,0.00297,0.00297,0.002356208,0.0003,0.0003,,
A0_G23,445,425,438,,,,0.305,0.321,0.301692207,0.00297,0.00297,0.004072845,0.0003,0.0003,,
A0_G15,361,341,365,,,,0.305,0.321,0.117804973,0.00297,0.00297,0.001590368,0.0003,0.0003,,
A0_G7,324,403,406,,,,0.305,0.321,0.022028176,0.00405,0.00405,0.000594761,0.0003,0.0003,,
A0_G4,411,416,411,,,,0.305,0.321,0.006431242,1,1,900,0.0003,0.0003,,
A1_G255,155,84,247,,,,0.305,0.321,15,0.00108,0.00108,0.06075,0.0003,0.0003,,
A1_G191,448,437,450,,,,0.305,0.321,7.942848336,0.00108,0.00108,0.032168536,0.0003,0.0003,,
A1_G127,417,405,419,,,,0.305,0.321,3.236465994,0.00297,0.00297,0.013107687,0.0003,0.0003,,
A1_G95,454,441,452,,,,0.305,0.321,1.708814001,0.00297,0.00297,0.006920697,0.0003,0.0003,,
A1_G63,386,355,377,,,,0.305,0.321,0.692232636,0.00297,0.00297,0.002803542,0.0003,0.0003,,
A1_G47,449,435,445,,,,0.305,0.321,0.363344131,0.00297,0.00297,0.004905146,0.0003,0.0003,,
A1_G31,371,350,372,,,,0.305,0.321,0.145444931,0.00297,0.00297,0.001963507,0.0003,0.0003,,
A1_G23,435,440,454,,,,0.305,0.321,0.075423052,0.003375,0.003375,0.001018211,0.0003,0.0003,,
A1_G15,337,388,400,,,,0.305,0.321,0.029451243,0.00405,0.00405,0.000795183,0.0003,0.0003,,
A1_G7,324,403,406,,,,0.305,0.321,0.005507044,1,1,900,0.0003,0.0003,,
A1_G4,411,416,411,,,,0.305,0.321,0.00160781,1,1,900,0.0003,0.0003,,
A2_G255,128,47,218,,,,0.305,0.321,5,0.001485,0.001485,0.02025,0.0003,0.0003,,
A2_G191,442,431,444,,,,0.305,0.321,2.647616112,0.00297,0.00297,0.010722846,0.0003,0.0003,,
A2_G127,418,394,414,,,,0.305,0.321,1.078821998,0.00297,0.00297,0.004369229,0.0003,0.0003,,
A2_G95,451,436,445,,,,0.305,0.321,0.569604667,0.00297,0.00297,0.002306899,0.0003,0.0003,,
A2_G63,379,347,367,,,,0.305,0.321,0.230744212,0.00297,0.00297,0.003115047,0.0003,0.0003,,
A2_G47,441,440,454,,,,0.305,0.321,0.12111471,0.00297,0.00297,0.001635049,0.0003,0.0003,,
A2_G31,358,377,397,,,,0.305,0.321,0.048481644,0.00405,0.00405,0.000654503,0.0003,0.0003,,
A2_G23,422,467,467,,,,0.305,0.321,0.025141017,0.00405,0.00405,0.000678808,0.0003,0.0003,,
A2_G20,352,444,435,,,,0.305,0.321,0.018486198,0.0081,0.0081,0.001497382,0.0003,0.0003,,
A2_G7,324,403,406,,,,0.305,0.321,0.001835681,1,1,900,0.0003,0.0003,,
A2_G4,411,416,411,,,,0.305,0.321,0.000535937,1,1,900,0.0003,0.0003,,
