,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
B6_G8,427,434,426,,,,0.28,0.331,0.024025638,0.009,0.009,0.000720769,0.0003,0.0003,,
B6_G4,411,416,411,,,,0.27,0.341,0.005228883,3,3,1500,0.0003,0.0003,,
B7_G255,200,200,200,,,,0.305,0.321,24.39132351,0.0024,0.0024,0.182934926,0.0003,0.0003,,
B7_G191,427,434,426,,DP213,,0.305,0.321,12.91577222,0.0024,0.0024,0.096868292,0.0003,0.0003,,
B7_G127,411,416,411,,,,0.305,0.321,5.262779272,0.0033,0.0033,0.039470845,0.0003,0.0003,,
B7_G95,427,434,426,,,,0.305,0.321,2.778682341,0.0066,0.0066,0.020840118,0.0003,0.0003,,
B7_G63,411,416,411,,,,0.305,0.321,1.125631345,0.0066,0.0066,0.008442235,0.0003,0.0003,,
B7_G47,427,434,426,,,,0.305,0.321,0.590829616,0.0066,0.0066,0.004431222,0.0003,0.0003,,
B7_G31,411,416,411,,,,0.299,0.321,0.23650629,0.0066,0.0066,0.003547594,0.0003,0.0003,,
B7_G23,427,434,426,,,,0.299,0.321,0.122644537,0.0066,0.0066,0.001839668,0.0003,0.0003,,
B7_G15,411,416,411,,,,0.29,0.326,0.04789032,0.009,0.009,0.000718355,0.0003,0.0003,,
B7_G11,427,434,426,,,,0.28,0.331,0.024205323,0.009,0.009,0.00072616,0.0003,0.0003,,
B7_G4,411,416,411,,,,0.27,0.341,0.002614442,3,3,1500,0.0003,0.0003,,
B8_G255,200,200,200,,,,0.305,0.321,12.19566175,0.0024,0.0024,0.091467463,0.0003,0.0003,,
B8_G191,427,434,426,,DP213,,0.305,0.321,6.457886111,0.0033,0.0033,0.048434146,0.0003,0.0003,,
B8_G127,411,416,411,,,,0.305,0.321,2.631389636,0.0066,0.0066,0.019735422,0.0003,0.0003,,
B8_G95,427,434,426,,,,0.305,0.321,1.38934117,0.0066,0.0066,0.010420059,0.0003,0.0003,,
B8_G63,411,416,411,,,,0.305,0.321,0.562815672,0.0066,0.0066,0.004221118,0.0003,0.0003,,
B8_G47,427,434,426,,,,0.299,0.321,0.295414808,0.0066,0.0066,0.004431222,0.0003,0.0003,,
B8_G31,411,416,411,,,,0.299,0.321,0.118253145,0.0066,0.0066,0.001773797,0.0003,0.0003,,
B8_G23,427,434,426,,,,0.29,0.326,0.061322269,0.0075,0.0075,0.000919834,0.0003,0.0003,,
B8_G15,411,416,411,,,,0.28,0.331,0.02394516,0.009,0.009,0.000718355,0.0003,0.0003,,
B8_G7,427,434,426,,,,0.27,0.341,0.00447747,3,3,1500,0.0003,0.0003,,
B8_G4,411,416,411,,,,0.27,0.341,0.001307221,3,3,1500,0.0003,0.0003,,
B9_G255,200,200,200,,,,0.305,0.321,8.618126613,0.0024,0.0024,0.06463595,0.0003,0.0003,,
B9_G191,427,434,426,,DP213,,0.305,0.321,4.563498175,0.0033,0.0033,0.034226236,0.0003,0.0003,,
B9_G127,411,416,411,,,,0.305,0.321,1.859484914,0.0066,0.0066,0.013946137,0.0003,0.0003,,
B9_G95,427,434,426,,,,0.305,0.321,0.981785028,0.0066,0.0066,0.007363388,0.0003,0.0003,,
B9_G63,411,416,411,,,,0.305,0.321,0.397716567,0.0066,0.0066,0.005965749,0.0003,0.0003,,
B9_G47,427,434,426,,,,0.299,0.321,0.208756382,0.0066,0.0066,0.003131346,0.0003,0.0003,,
B9_G31,411,416,411,,,,0.29,0.326,0.083564188,0.0075,0.0075,0.001253463,0.0003,0.0003,,
B9_G23,427,434,426,,,,0.29,0.326,0.043333694,0.009,0.009,0.000650005,0.0003,0.0003,,
B9_G15,411,416,411,,,,0.28,0.331,0.01692097,0.018,0.018,0.001522887,0.0003,0.0003,,
