,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
A0_G31,411,398,401,,,,0.305,0.321,0.581779722,0.002,0.002,0.002908899,0.0003,0.0003,,
A0_G15,408,407,399,,,,0.305,0.321,0.117804973,0.003,0.003,0.00117805,0.0003,0.0003,,
A0_G7,385,450,435,,,,0.305,0.321,0.022028176,0.004,0.004,0.000440564,0.0003,0.0003,,
A0_G4,344,391,401,,,,0.305,0.321,0.006431242,1,1,1000,0.0003,0.0003,,
A1_G255,242,202,299,,,,0.305,0.321,15,0.001,0.001,0.075,0.0003,0.0003,,
A1_G191,458,453,458,,,,0.305,0.321,7.942848336,0.001,0.001,0.039714242,0.0003,0.0003,,
A1_G127,440,431,437,,,,0.305,0.321,3.236465994,0.002,0.002,0.01618233,0.0003,0.0003,,
A1_G63,412,401,405,,,,0.305,0.321,0.692232636,0.002,0.002,0.003461163,0.0003,0.0003,,
A1_G31,412,408,399,,,,0.305,0.321,0.145444931,0.003,0.003,0.001454449,0.0003,0.0003,,
A1_G15,395,444,433,,,,0.305,0.321,0.029451243,0.004,0.004,0.000589025,0.0003,0.0003,,
A1_G7,385,450,435,,,,0.305,0.321,0.005507044,1,1,1000,0.0003,0.0003,,
A1_G4,344,391,401,,,,0.305,0.321,0.00160781,1,1,1000,0.0003,0.0003,,
A2_G255,195,156,246,,,,0.305,0.321,5,0.002,0.002,0.025,0.0003,0.0003,,
A2_G191,459,451,456,,,,0.305,0.321,2.647616112,0.002,0.002,0.013238081,0.0003,0.0003,,
A2_G127,441,430,434,,,,0.305,0.321,1.078821998,0.002,0.002,0.00539411,0.0003,0.0003,,
A2_G63,413,406,401,,,,0.305,0.321,0.230744212,0.003,0.003,0.002307442,0.0003,0.0003,,
A2_G31,410,432,422,,,,0.305,0.321,0.048481644,0.004,0.004,0.000484816,0.0003,0.0003,,
A2_G15,395,444,433,,,,0.305,0.321,0.009817081,1,1,1000,0.0003,0.0003,,
A2_G7,385,450,435,,,,0.305,0.321,0.001835681,1,1,1000,0.0003,0.0003,,
A2_G4,344,391,401,,,,0.305,0.321,0.000535937,1,1,1000,0.0003,0.0003,,
