New ,R,G,B,#1,R,G,B,#2,R,G,B,#3,R,G,B,#4,R,G,B,#5,R,G,B,#6,R,G,B,#7,R,G,B,#8,R,G,B,#9,R,G,B,#10,R,G,B
B2_G47,37.2867196493583,37.2156495733829,36.9951180028504,B2_G47,37.46875663,37.46037259,37.23259671,B2_G47,37.46875663,37.46037259,37.23259671,B2_G47,37.46875663,37.46037259,37.23259671,B2_G47,37.46875663,37.46037259,37.23259671,B2_G47,37.46875663,37.46037259,37.23259671,B2_G47,37.30627373,37.26630268,37.16519015,B2_G47,37.30627373,37.26630268,37.16519015,B2_G47,37.30627373,37.26630268,37.16519015,B2_G47,37.30627373,37.26630268,37.16519015,B2_G47,37.30627373,37.26630268,37.16519015
B2_G31,24.2847742044808,24.4913264751259,24.456839884433,B2_G31,24.45662487,24.79645619,24.75112752,B2_G31,24.45662487,24.79645619,24.75112752,B2_G31,24.45662487,24.79645619,24.75112752,B2_G31,24.45662487,24.79645619,24.75112752,B2_G31,24.45662487,24.79645619,24.75112752,B2_G31,24.40367247,24.56163033,24.81507451,B2_G31,24.40367247,24.56163033,24.81507451,B2_G31,24.40367247,24.56163033,24.81507451,B2_G31,24.40367247,24.56163033,24.81507451,B2_G31,24.40367247,24.56163033,24.81507451
B2_G23,18.2468997025396,18.4265793955347,18.2714080715949,B2_G23,18.27488397,18.47549232,18.43321603,B2_G23,18.27488397,18.47549232,18.43321603,B2_G23,18.27488397,18.47549232,18.43321603,B2_G23,18.27488397,18.47549232,18.43321603,B2_G23,18.27488397,18.47549232,18.43321603,B2_G23,18.18514284,18.42446596,18.3776737,B2_G23,18.18514284,18.42446596,18.3776737,B2_G23,18.18514284,18.42446596,18.3776737,B2_G23,18.18514284,18.42446596,18.3776737,B2_G23,18.18514284,18.42446596,18.3776737
B2_G15,11.9299906799018,11.9396595839665,11.8399947003602,B2_G15,11.99107356,11.94072667,11.94828773,B2_G15,11.99107356,11.94072667,11.94828773,B2_G15,11.99107356,11.94072667,11.94828773,B2_G15,11.99107356,11.94072667,11.94828773,B2_G15,11.99107356,11.94072667,11.94828773,B2_G15,12.11409847,11.95262673,11.93809939,B2_G15,12.11409847,11.95262673,11.93809939,B2_G15,12.11409847,11.95262673,11.93809939,B2_G15,12.11409847,11.95262673,11.93809939,B2_G15,12.11409847,11.95262673,11.93809939
B2_G7,5.87360852525733,5.9164132041077,5.82666402662754,B2_G7,5.865877523,5.930545764,5.893614661,B2_G7,5.865877523,5.930545764,5.893614661,B2_G7,5.865877523,5.930545764,5.893614661,B2_G7,5.865877523,5.930545764,5.893614661,B2_G7,5.865877523,5.930545764,5.893614661,B2_G7,5.850899173,5.960967676,5.860678563,B2_G7,5.850899173,5.960967676,5.860678563,B2_G7,5.850899173,5.960967676,5.860678563,B2_G7,5.850899173,5.960967676,5.860678563,B2_G7,5.850899173,5.960967676,5.860678563
B2_G4,3.09806104459297,3,3,B2_G4,3.099624067,3.00542445,3,B2_G4,3.099624067,3.00542445,3,B2_G4,3.099624067,3.00542445,3,B2_G4,3.099624067,3.00542445,3,B2_G4,3.099624067,3.00542445,3,B2_G4,3.075235874,3,3,B2_G4,3.075235874,3,3,B2_G4,3.075235874,3,3,B2_G4,3.075235874,3,3,B2_G4,3.075235874,3,3
B3_G255,189.614347835224,189.358792167923,189.45824398395,B3_G255,189.5001243,190.6675187,190.4248427,B3_G255,189.5001243,190.6675187,190.4248427,B3_G255,189.5001243,190.6675187,190.4248427,B3_G255,189.5001243,190.6675187,190.4248427,B3_G255,189.5001243,190.6675187,190.4248427,B3_G255,190.1790424,190.7098549,189.8955743,B3_G255,190.1790424,190.7098549,189.8955743,B3_G255,190.1790424,190.7098549,189.8955743,B3_G255,190.1790424,190.7098549,189.8955743,B3_G255,190.1790424,190.7098549,189.8955743
B3_G191,142.566098601502,142.669285111101,142.378070007579,B3_G191,142.8793437,142.9882791,143.1855553,B3_G191,142.8793437,142.9882791,143.1855553,B3_G191,142.8793437,142.9882791,143.1855553,B3_G191,142.8793437,142.9882791,143.1855553,B3_G191,142.8793437,142.9882791,143.1855553,B3_G191,142.6179452,143.0130251,142.738379,B3_G191,142.6179452,143.0130251,142.738379,B3_G191,142.6179452,143.0130251,142.738379,B3_G191,142.6179452,143.0130251,142.738379,B3_G191,142.6179452,143.0130251,142.738379
B3_G127,94.1598011695243,94.3370686724205,93.9598259997612,B3_G127,94.59590096,94.47196992,94.49281762,B3_G127,94.59590096,94.47196992,94.49281762,B3_G127,94.59590096,94.47196992,94.49281762,B3_G127,94.59590096,94.47196992,94.49281762,B3_G127,94.59590096,94.47196992,94.49281762,B3_G127,94.34370642,94.42903477,94.66884221,B3_G127,94.34370642,94.42903477,94.66884221,B3_G127,94.34370642,94.42903477,94.66884221,B3_G127,94.34370642,94.42903477,94.66884221,B3_G127,94.34370642,94.42903477,94.66884221
B3_G95,70.5375006448033,70.8605654907709,70.5009657617703,B3_G95,70.7713822,71.33416522,70.93628317,B3_G95,70.7713822,71.33416522,70.93628317,B3_G95,70.7713822,71.33416522,70.93628317,B3_G95,70.7713822,71.33416522,70.93628317,B3_G95,70.7713822,71.33416522,70.93628317,B3_G95,70.86694698,71.24699814,70.67222204,B3_G95,70.86694698,71.24699814,70.67222204,B3_G95,70.86694698,71.24699814,70.67222204,B3_G95,70.86694698,71.24699814,70.67222204,B3_G95,70.86694698,71.24699814,70.67222204
