,,Gamma,,,Measure,,,Target,,,Limit,,Extension,,,
Band_Gray,Red,Green,Blue,X,Y,Lv,x,y,Lv,x,y,Lv,X,Y,Applied,Loop
A1_G191,458,453,456,,,,0.299,0.315,7.942848336,0.002,0.002,0.079428483,0.0003,0.0003,,
A1_G127,438,427,432,,,,0.299,0.315,3.236465994,0.002,0.002,0.06472932,0.0003,0.0003,,
A1_G63,410,389,393,,,,0.299,0.315,0.692232636,0.0025,0.0025,0.013844653,0.0003,0.0003,,
A1_G31,407,395,387,,,,0.299,0.315,0.145444931,0.003,0.003,0.007272247,0.0003,0.0003,,
A1_G15,392,426,427,,,,0.299,0.315,0.029451243,0.01,0.01,0.002061587,0.0003,0.0003,,
A1_G7,384,441,431,,,,0.299,0.315,0.005507044,1,1,1,0.0003,0.0003,,
A1_G4,344,391,401,,,,0.299,0.315,0.00160781,1,1,1,0.0003,0.0003,,
A2_G255,139,98,195,,,,0.299,0.315,5,0.002,0.002,0.075,0.0003,0.0003,,
A2_G191,460,450,453,,,,0.299,0.315,2.647616112,0.002,0.002,0.079428483,0.0003,0.0003,,
A2_G127,436,423,425,,,,0.299,0.315,1.078821998,0.003,0.003,0.0539411,0.0003,0.0003,,
A2_G63,414,397,390,,,,0.299,0.315,0.230744212,0.004,0.004,0.016152095,0.0003,0.0003,,
A2_G31,399,408,411,,,,0.299,0.315,0.048481644,0.01,0.01,0.003393715,0.0003,0.0003,,
A2_G15,392,426,427,,,,0.299,0.315,0.009817081,1,1,1,0.0003,0.0003,,
A2_G7,384,441,431,,,,0.299,0.315,0.001835681,1,1,1,0.0003,0.0003,,
A2_G4,344,391,401,,,,0.299,0.315,0.000535937,1,1,1,0.0003,0.0003,,
